title| total_time |yields|ingredients|instructions|calories|nutrients|category
Turkey in a Bag|195|12 servings|['1 (12 pound) whole turkey', 'salt and ground black pepper to taste', '2 tablespoons all-purpose flour', '5 stalks celery, cut into 1-inch pieces', '2 large onions, quartered', '1 large turkey bag']|Gather all ingredients.Preheat the oven to 350 degrees F (175 degrees C).Remove and discard giblets.Rinse turkey and pat dry.Season turkey with salt and pepper.Sprinkle the bottom of the turkey bag with flour.Place turkey in the bag and add celery and onions.Seal the bag and transfer into a roasting pan; poke several holes in the bag with a fork.Bake in the preheated oven until turkey is cooked and the juices run clear, about 3 to 3 1/2 hours. An instant-read thermometer inserted into the thigh meat should read 180 degrees F (85 degrees C).Enjoy!|744 kcal|{'calories': '744 kcal', 'carbohydrateContent': '4 g', 'cholesterolContent': '309 mg', 'fiberContent': '1 g', 'proteinContent': '93 g', 'saturatedFatContent': '10 g', 'sodiumContent': '310 mg', 'sugarContent': '1 g', 'fatContent': '37 g', 'unsaturatedFatContent': '0 g'}|Dinner
Buttered Noodles|20|8 servings|['1 (16 ounce) package fettuccine noodles', '6 tablespoons butter, cut into pieces', '⅓ cup grated Parmesan cheese', 'salt and ground black pepper to taste']|Gather all ingredients.Fill a large pot with lightly salted water and bring to a rolling boil.Stir in fettuccine, bring back to a boil, and cook pasta over medium heat until tender yet firm to the bite, 8 to 10 minutes.Drain and return pasta to pot. Mix butter, Parmesan cheese, salt, and pepper into pasta until evenly combined.Serve hot and enjoy!|294 kcal|{'calories': '294 kcal', 'carbohydrateContent': '41 g', 'cholesterolContent': '26 mg', 'fiberContent': '2 g', 'proteinContent': '9 g', 'saturatedFatContent': '6 g', 'sodiumContent': '135 mg', 'sugarContent': '2 g', 'fatContent': '11 g', 'unsaturatedFatContent': '0 g'}|Dinner
Slow Cooker Baby Back Ribs|265|6 servings|['3 pounds baby back ribs, trimmed', 'salt and ground black pepper, to taste', '½ cup water', '½ onion, sliced', '1 clove garlic, minced', '1 (18 ounce) bottle barbeque sauce']|Gather all ingredients.Season ribs with salt and pepper.Pour 1/2 cup water into the slow cooker, then add ribs. Scatter onion and garlic over top. Cover and cook on Low for 8 hours or High for 4 hours.When the ribs are almost finished, preheat the oven to 375 degrees F (190 degrees C).Transfer ribs from the slow cooker to a baking sheet; discard onion and garlic. Coat ribs with barbeque sauce.Bake ribs in the preheated oven until sauce caramelizes and sticks to meat, 10 to 15 minutes.Enjoy!|501 kcal|{'calories': '501 kcal', 'carbohydrateContent': '32 g', 'cholesterolContent': '117 mg', 'fiberContent': '1 g', 'proteinContent': '24 g', 'saturatedFatContent': '11 g', 'sodiumContent': '1067 mg', 'sugarContent': '23 g', 'fatContent': '30 g', 'unsaturatedFatContent': '0 g'}|Dinner,Lunch,Entree
Foolproof Rib Roast|285|6 servings|['1 (5-pound) beef standing rib roast, at room-temperature (let sit out for 1 hour before starting recipe)', '2 teaspoons salt', '1 teaspoon ground black pepper', '1 teaspoon garlic powder']|Gather all ingredients.Preheat the oven to 375 degrees F (190 degrees C). Place a rack in a roasting pan.Combine salt, pepper, and garlic powder in a small cup.Place room-temperature roast on the rack in the roasting pan with the fatty side up and the rib side on the bottom. Rub the seasoning onto the roast.Roast for 1 hour in the preheated oven. Turn the oven off and leave the roast inside for 3 hours, without opening the door.Turn the oven back on to 375 degrees F (190 degrees C) and reheat the roast for 30 to 40 minutes. The internal temperature should be at least 145 degrees F (62 degrees C).Remove from the oven and let rest for 10 minutes before carving.Serve hot and enjoy!|1291 kcal|{'calories': '1291 kcal', 'carbohydrateContent': '1 g', 'cholesterolContent': '314 mg', 'fiberContent': '0 g', 'proteinContent': '85 g', 'saturatedFatContent': '41 g', 'sodiumContent': '943 mg', 'sugarContent': '0 g', 'fatContent': '103 g', 'unsaturatedFatContent': '0 g'}|Dinner
The Perfect Basic Burger|20|4 servings|['1 large egg', '½ teaspoon salt', '½ teaspoon ground black pepper', '1 pound ground beef', '½ cup fine dry bread crumbs']|Preheat an outdoor grill for high heat and lightly oil grate.Whisk together egg, salt, and pepper in a medium bowl.Add ground beef and bread crumbs and mix with your hands or a fork until well blended.Form into four 3/4-inch-thick patties.Place patties on the preheated grill. Cover and cook 6 to 8 minutes per side, or to desired doneness. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).Serve hot and enjoy!|317 kcal|{'calories': '317 kcal', 'carbohydrateContent': '10 g', 'cholesterolContent': '125 mg', 'fiberContent': '1 g', 'proteinContent': '27 g', 'saturatedFatContent': '7 g', 'sodiumContent': '475 mg', 'sugarContent': '1 g', 'fatContent': '18 g', 'unsaturatedFatContent': '0 g'}|Dinner
Brown Sugar Ham Steak|25|2 servings|['1 (8 ounce) bone-in fully cooked ham steak', '5 tablespoons butter, cubed', '5 tablespoons brown sugar']|Gather the ingredients.Cook ham steak in a large skillet over medium heat until browned, 3 to 4 minutes per side.Remove ham from skillet; drain off any fat. Melt butter in the same skillet over medium-low heat. Stir in brown sugar.Return ham to skillet. Cook, turning ham often, until heated through and brown sugar has dissolved, about 10 minutes. Reduce heat if brown sugar/butter mixture starts to pop or splatter.Serve and enjoy!|521 kcal|{'calories': '521 kcal', 'carbohydrateContent': '33 g', 'cholesterolContent': '127 mg', 'proteinContent': '22 g', 'saturatedFatContent': '20 g', 'sodiumContent': '1648 mg', 'sugarContent': '33 g', 'fatContent': '34 g', 'unsaturatedFatContent': '0 g'}|Dinner
Easy Rib Eye Roast|100|8 servings|['1 cup softened butter', '6 cloves garlic, minced', '1 (4 pound) bone-in rib-eye roast', 'sea salt and cracked black pepper to taste']|Gather all ingredients and preheat the oven to 500 degrees F (260 degrees C).Beat butter and garlic together in a bowl.Poke several holes in rib eye with a sharp knife. Rub butter mixture all over meat and season with salt and pepper. Place rib eye fat-side up in a roasting pan.Roast in the preheated oven for 20 minutes.Reduce heat to 325 degrees F (165 degrees C) and continue cooking until rib eye is reddish-pink and juicy in the center, 1 1/2 to 2 hours. An instant-read thermometer inserted into the center will read 145 degrees F (63 degrees C) for medium.Serve and enjoy!|472 kcal|{'calories': '472 kcal', 'carbohydrateContent': '1 g', 'cholesterolContent': '186 mg', 'fiberContent': '0 g', 'proteinContent': '27 g', 'saturatedFatContent': '21 g', 'sodiumContent': '257 mg', 'fatContent': '40 g', 'unsaturatedFatContent': '0 g'}|Dinner
Mushroom Pork Chops|40|4 servings|['4 pork chops', 'salt and ground black pepper to taste', '1 pinch garlic salt, or to taste', '½ pound fresh mushrooms, sliced', '1 onion, chopped', '1 (10.75 ounce) can condensed cream of mushroom soup']|Season pork chops with salt, pepper, and garlic salt.Brown chops over medium-high heat in a large nonstick skillet. Add mushrooms and onion and sauté for one minute.Pour soup over chops. Cover, reduce the heat to medium-low, and simmer until chops are cooked through, 20 to 30 minutes.|210 kcal|{'calories': '210 kcal', 'carbohydrateContent': '10 g', 'cholesterolContent': '65 mg', 'fiberContent': '1 g', 'proteinContent': '24 g', 'saturatedFatContent': '2 g', 'sodiumContent': '924 mg', 'sugarContent': '3 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}|Dinner
Honey Glazed Chicken|20|4 servings|['¼ cup honey', '2 tablespoons soy sauce', '⅛ teaspoon red pepper flakes', '1 ½ tablespoons olive oil', '2 skinless, boneless chicken breast halves, cut into bite-size pieces']|Gather all ingredients.Whisk honey, soy sauce, and red pepper flakes in a bowl; set aside.Heat olive oil in a skillet over medium heat; cook and stir chicken in hot oil until lightly brown, about 5 minutes.Pour honey mixture into the skillet; continue to cook and stir until chicken is no longer pink in the center and sauce is thickened, about 5 minutes more.Serve hot and enjoy!|179 kcal|{'calories': '179 kcal', 'carbohydrateContent': '18 g', 'cholesterolContent': '34 mg', 'fiberContent': '0 g', 'proteinContent': '13 g', 'saturatedFatContent': '1 g', 'sodiumContent': '481 mg', 'sugarContent': '18 g', 'fatContent': '7 g', 'unsaturatedFatContent': '0 g'}|Dinner
Brown Sugar and Pineapple Glazed Ham|110|20 servings|['1 (6 pound) fully-cooked, bone-in ham', '1 fresh pineapple', '2 (6 ounce) cans pineapple juice', '1 cup brown sugar']|Gather all ingredients.Preheat the oven to 325 degrees F (165 degrees C). Place ham, cut-side down, into a roasting pan.Cut skin off pineapple with a sharp knife and slice off any brown spots or skin left behind. Cut pineapple into 1/2-inch-thick rings and use a round cutter to remove cores. Pin rings onto ham with toothpicks.Bake ham in the preheated oven for 30 minutes.While ham bakes, mix pineapple juice and brown sugar in a microwave-safe bowl. Microwave on medium power until glaze is boiling and slightly thickened. Work carefully because glaze will be sticky and very hot.Pour 1/2 of the glaze evenly over ham and pineapple rings. Bake ham for 30 minutes more, then pour remaining glaze over ham.Continue baking ham until a meat thermometer inserted into the thickest part of ham reads 140 degrees F (60 degrees C), 30 to 60 minutes more.Enjoy!|396 kcal|{'calories': '396 kcal', 'carbohydrateContent': '16 g', 'cholesterolContent': '99 mg', 'fiberContent': '0 g', 'proteinContent': '24 g', 'saturatedFatContent': '9 g', 'sodiumContent': '68 mg', 'sugarContent': '15 g', 'fatContent': '26 g', 'unsaturatedFatContent': '0 g'}|Dinner
Air Fryer Baked Potatoes|65|2 servings|['2 large russet potatoes, scrubbed', '1 tablespoon peanut oil', '½ teaspoon coarse sea salt']|Gather all ingredients and preheat an air fryer to 400 degrees F (200 degrees C).Brush potatoes with peanut oil, sprinkle with salt, and place them in the air fryer basket.Cook potatoes until very tender when pierced with a fork, about 1 hour. Serve and enjoy!|344 kcal|{'calories': '344 kcal', 'carbohydrateContent': '65 g', 'fiberContent': '8 g', 'proteinContent': '8 g', 'saturatedFatContent': '1 g', 'sodiumContent': '462 mg', 'sugarContent': '3 g', 'fatContent': '7 g', 'unsaturatedFatContent': '0 g'}|Dinner,Side Dish
Simple BBQ Ribs|110|4 servings|['2 ½ pounds country-style pork ribs', '2 tablespoons kosher salt', '1 tablespoon garlic powder', '1 teaspoon ground black pepper', '1 cup barbeque sauce']|Gather all ingredients.Place ribs in a large pot and cover with water. Stir in kosher salt, garlic powder, and pepper, and bring water to a boil over medium heat. Continue to boil until ribs are tender, 40 to 45 minutes.While the ribs are boiling, preheat the oven to 325 degrees F (165 degrees C).Remove ribs from the pot, and place them in a 9x13-inch baking dish. Pour barbeque sauce over ribs. Cover the baking dish with aluminum foil.Bake in the preheated oven until the internal temperature of the pork has reached 160 degrees F (70 degrees C), 1 to 1 1/2 hours.Serve hot and enjoy!|441 kcal|{'calories': '441 kcal', 'carbohydrateContent': '25 g', 'cholesterolContent': '128 mg', 'fiberContent': '1 g', 'proteinContent': '33 g', 'saturatedFatContent': '8 g', 'sodiumContent': '4260 mg', 'sugarContent': '17 g', 'fatContent': '22 g', 'unsaturatedFatContent': '0 g'}|Dinner
Three-Ingredient Baked Chicken Breasts|40|4 servings|['¼ cup butter, melted', '1 teaspoon salt', '4 skinless, boneless chicken breast halves']|Preheat the oven to 350 degrees F (175 degrees C). Lightly butter a baking dish.Stir together melted butter and salt in a bowl.Arrange chicken in the prepared baking dish. Brush butter mixture onto chicken until thoroughly coated, pouring any extra over chicken.Bake in the preheated oven until no longer pink in the center and juices run clear, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).|227 kcal|{'calories': '227 kcal', 'cholesterolContent': '95 mg', 'proteinContent': '24 g', 'saturatedFatContent': '8 g', 'sodiumContent': '719 mg', 'fatContent': '14 g', 'unsaturatedFatContent': '0 g'}|Dinner
Baked Salmon Fillets Dijon|25|4 servings|['4 (4 ounce) fillets salmon', '3 tablespoons prepared Dijon-style mustard', 'salt and ground black pepper to taste', '¼ cup Italian-style dry bread crumbs', '¼ cup butter, melted']|Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C). Line a shallow baking pan with aluminum foil.Place salmon fillets skin-side down on the prepared baking pan. Spread a thin layer of mustard on top of each fillet; season with salt and pepper.Top with bread crumbs, then drizzle with melted butter.Bake in the preheated oven until salmon flakes easily with a fork, about 15 minutes.Serve and enjoy!|331 kcal|{'calories': '331 kcal', 'carbohydrateContent': '8 g', 'cholesterolContent': '107 mg', 'fiberContent': '0 g', 'proteinContent': '25 g', 'saturatedFatContent': '9 g', 'sodiumContent': '553 mg', 'sugarContent': '0 g', 'fatContent': '22 g', 'unsaturatedFatContent': '0 g'}|Dinner
Parmesan Crusted Tilapia Fillets|20|4 servings|['¾ cup grated Parmesan cheese', '1 tablespoon chopped fresh parsley', '2 teaspoons paprika', 'salt and ground black pepper to taste', '4 tilapia fillets', '1 drizzle olive oil']|Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil.Whisk Parmesan cheese, parsley, paprika, salt, and pepper together in a shallow dish.Coat tilapia fillets with olive oil and press into the Parmesan cheese mixture. Arrange coated fillets on the prepared baking sheet.Bake in the preheated oven until the fish flakes easily with a fork, 10 to 12 minutes.|210 kcal|{'calories': '210 kcal', 'carbohydrateContent': '1 g', 'cholesterolContent': '54 mg', 'fiberContent': '1 g', 'proteinContent': '29 g', 'saturatedFatContent': '3 g', 'sodiumContent': '280 mg', 'sugarContent': '0 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}|Dinner
Slow Cooker Pork and Sauerkraut|490|4 servings|['1 (1 pound) whole pork tenderloin', '1 (24 ounce) bag baby potatoes, unpeeled (Optional)', '1 (20 ounce) can sauerkraut, undrained', '1 cup water, or more as needed', '¼ cup butter, cubed', 'salt and ground black pepper to taste']|Gather all ingredients.Place whole pork tenderloin into a slow cooker. Arrange potatoes around pork; pour sauerkraut and juice over pork and potatoes. Add 1 cup water, butter cubes, salt, and black pepper.Cook on Low until pork is tender, 8 to 10 hours. Add more water after 8 hours if mixture seems dry.|358 kcal|{'calories': '358 kcal', 'carbohydrateContent': '36 g', 'cholesterolContent': '80 mg', 'fiberContent': '8 g', 'proteinContent': '22 g', 'saturatedFatContent': '8 g', 'sodiumContent': '1057 mg', 'sugarContent': '4 g', 'fatContent': '15 g', 'unsaturatedFatContent': '0 g'}|Dinner
Crumbed Chicken Tenderloins (Air Fried)|30|4 servings|['1 large egg', '½ cup dry bread crumbs', '2 tablespoons vegetable oil', '8 chicken tenderloins']|Gather all ingredients.Preheat an air fryer to 350 degrees F (175 degrees C).Whisk egg in a small bowl.Mix bread crumbs and oil together in a second bowl until mixture becomes loose and crumbly.Dip each chicken tenderloin into the bowl of egg; shake off any residual egg. Dip chicken into crumb mixture, making sure it is evenly and fully covered.Lay chicken tenderloins in the air fryer basket in an even layer.Air-fry until no longer pink in the center, about 12 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).Serve hot and enjoy!|253 kcal|{'calories': '253 kcal', 'carbohydrateContent': '10 g', 'cholesterolContent': '109 mg', 'fiberContent': '1 g', 'proteinContent': '26 g', 'saturatedFatContent': '2 g', 'sodiumContent': '171 mg', 'sugarContent': '1 g', 'fatContent': '11 g', 'unsaturatedFatContent': '0 g'}|Dinner
Ground Beef and Cabbage|60|6 servings|['1 large head cabbage, finely chopped', '1 (14.5 ounce) can diced tomatoes with juice', '1 onion, halved and thinly sliced', '1 tablespoon Italian seasoning', 'salt and ground black pepper to taste', '1 pound lean ground beef']|Place cabbage, tomatoes with juice, onion, Italian seasoning, salt, and pepper into a Dutch oven or large pot over low heat; cook and stir until it begins to simmer.Add lean ground beef on top; cover and cook, stirring occasionally, until cabbage is tender and ground beef is cooked through, about 45 minutes.|228 kcal|{'calories': '228 kcal', 'carbohydrateContent': '18 g', 'cholesterolContent': '50 mg', 'fiberContent': '7 g', 'proteinContent': '18 g', 'saturatedFatContent': '4 g', 'sodiumContent': '191 mg', 'sugarContent': '10 g', 'fatContent': '10 g', 'unsaturatedFatContent': '0 g'}|Dinner
Old Bay-Seasoned Steamed Shrimp|15|4 servings|['½ cup water', '½ cup white vinegar', '2 tablespoons seafood seasoning (such as Old Bay)', '1 pound fresh large shrimp, deveined with shells on']|Bring water, vinegar, and seafood seasoning to a boil in a saucepan over high heat. Add shrimp and stir.Reduce heat to medium, cover, and steam, stirring once or twice, until bright orange in color, 3 to 5 minutes. Drain.|88 kcal|{'calories': '88 kcal', 'cholesterolContent': '173 mg', 'proteinContent': '19 g', 'saturatedFatContent': '0 g', 'sodiumContent': '954 mg', 'fatContent': '1 g', 'unsaturatedFatContent': '0 g'}|Dinner
Salsa Chicken|35|4 servings|['4 skinless, boneless chicken breast halves', '4 teaspoons taco seasoning mix', '1 cup salsa', '1 cup shredded Cheddar cheese', '2 tablespoons sour cream (Optional)']|Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 9x13-inch baking dish.Place chicken breasts in the prepared dish. Sprinkle seasoning mix on both sides of chicken breasts.Pour salsa on top.Bake in the preheated oven until chicken is tender and juicy and the juices run clear, 25 to 35 minutes.Sprinkle chicken evenly with cheese.Continue baking until cheese is melted and bubbly, 3 to 5 minutes more.Top with sour cream and serve.|287 kcal|{'calories': '287 kcal', 'carbohydrateContent': '7 g', 'cholesterolContent': '101 mg', 'fiberContent': '1 g', 'proteinContent': '36 g', 'saturatedFatContent': '7 g', 'sodiumContent': '863 mg', 'sugarContent': '3 g', 'fatContent': '12 g', 'unsaturatedFatContent': '0 g'}|Dinner
